run_id,model,phase,prompt_idx,prompt_short,t_start_mono,t_end_mono,duration_ms,tokens_per_sec,prompt_tokens,prompt_tokens_per_sec,gen_tokens,gpu_mean_w,gpu_peak_w,gpu_energy_j,cpu_mean_pct,total_tokens,j_per_token,j_per_out_token
0,gemma3:1b,idle,-1,IDLE_BASELINE,9494.613,9515.255,20641,0,0,0,0,12.651,12.900,261.142,,0,0,0
1,gemma3:1b,load,0,What is the capital of France?,9515.257,9515.905,648,135.6,16,90.4,31,15.380,18.070,9.970,,47,0.21212011508216436,0.32160146480199114
1,gemma3:1b,load,1,What year was the C programming language created?,9516.334,9516.839,504,212.5,18,1779.8,57,34.890,34.890,17.613,,75,0.23483368710760041,0.3089916935626321
1,gemma3:1b,load,2,Name three planets in our solar system.,9516.862,9517.243,380,213.2,17,1720.8,36,62.510,62.510,23.807,,53,0.44918627457948873,0.6613020153531362
1,gemma3:1b,load,3,What is 17 multiplied by 23?,9517.394,9517.734,340,215.4,20,1748.9,27,68.400,68.400,23.278,,47,0.49527224954103116,0.8621405825343876
1,gemma3:1b,load,4,"Who wrote the novel ""1984""?",9517.929,9518.364,434,216.1,19,1912.5,46,65.890,65.890,28.660,,65,0.44092509025885707,0.6230463231918633
1,gemma3:1b,load,5,Explain the difference between TCP and UDP in two sentences.,9518.461,9518.931,470,212.4,20,1874.0,50,62.980,62.980,29.628,,70,0.4232603055793806,0.5925644278111328
1,gemma3:1b,load,6,What are the main advantages of using containers over virtua,9519.001,9523.286,4284,208.8,21,2001.4,775,96.794,106.780,414.691,,796,0.5209686529571232,0.5350852229082195
1,gemma3:1b,load,7,Describe how HTTPS protects data in transit.,9523.758,9528.688,4930,208.8,17,1769.9,901,98.930,107.920,487.730,,918,0.5312968189006974,0.5413212871818426
1,gemma3:1b,load,8,What is gradient descent and why is it used in machine learn,9529.061,9533.996,4934,209.2,22,2214.9,903,101.026,108.550,498.556,,925,0.538979396180252,0.5521106771503135
1,gemma3:1b,load,9,Summarise the causes of World War I in three bullet points.,9534.320,9535.356,1036,210.4,22,2133.3,159,82.705,90.900,85.689,,181,0.4734199952700877,0.5389246487036847
1,gemma3:1b,load,10,Write a Python function that checks whether a given string i,9535.380,9540.125,4744,208.1,29,2564.9,855,102.664,107.410,487.132,,884,0.5510546571131725,0.5697453998690578
1,gemma3:1b,load,11,Explain how a transformer neural network works. Cover attent,9540.639,9547.854,7215,208.2,27,2517.8,1328,101.646,108.370,733.416,,1355,0.541266158891641,0.5522708172426005
1,gemma3:1b,load,12,Write a short story (about 200 words) about a robot who disc,9548.139,9549.652,1513,209.7,32,3037.7,250,86.387,91.500,130.705,,282,0.4634913797890269,0.5228182764020223
1,gemma3:1b,load,13,List and briefly explain ten common software design patterns,9549.741,9553.292,3550,203.9,26,2711.7,620,100.160,105.350,355.667,,646,0.5505678412820311,0.5736561701099873
1,gemma3:1b,load,14,Describe the pros and cons of renewable energy sources: sola,9553.517,9560.289,6771,204.2,28,2730.2,1219,101.524,106.370,687.459,,1247,0.5512902631470527,0.5639532060249176
2,gemma3:1b,load,0,What is the capital of France?,9560.393,9560.825,432,210.1,16,1191.0,41,98.340,98.340,42.522,,57,0.7459981081843771,1.0371193211343779
2,gemma3:1b,load,1,What year was the C programming language created?,9560.933,9561.370,436,210.2,18,1345.3,43,81.480,81.480,35.595,,61,0.5835255811429957,0.8277921034819241
2,gemma3:1b,load,2,Name three planets in our solar system.,9561.460,9561.851,391,213.2,17,1453.4,35,67.010,67.010,26.248,,52,0.5047725774863742,0.7499478294083274
2,gemma3:1b,load,3,What is 17 multiplied by 23?,9561.995,9562.336,341,214.6,20,1602.0,27,65.170,65.170,22.242,,47,0.47324106077382083,0.8237899946803547
2,gemma3:1b,load,4,"Who wrote the novel ""1984""?",9562.537,9562.925,387,214.4,19,1554.1,36,61.930,61.930,23.993,,55,0.43623069299566486,0.6664635587433768
2,gemma3:1b,load,5,Explain the difference between TCP and UDP in two sentences.,9563.075,9563.546,471,206.8,20,1451.8,50,60.760,60.760,28.658,,70,0.40939295342349213,0.573150134792889
2,gemma3:1b,load,6,What are the main advantages of using containers over virtua,9563.605,9567.827,4221,205.2,21,1511.3,754,96.301,106.820,406.566,,775,0.5246006764261422,0.5392115705971621
2,gemma3:1b,load,7,Describe how HTTPS protects data in transit.,9568.345,9573.223,4877,203.9,17,1516.4,864,96.155,105.990,469.020,,881,0.5323727037715935,0.5428476296559883
2,gemma3:1b,load,8,What is gradient descent and why is it used in machine learn,9573.700,9579.621,5920,204.7,22,1733.9,1059,98.460,105.770,582.933,,1081,0.5392530432774885,0.5504556560745657
2,gemma3:1b,load,9,Summarise the causes of World War I in three bullet points.,9580.124,9581.130,1006,206.9,22,1764.8,150,73.825,82.040,74.327,,172,0.43213615305869657,0.49551612217397206
2,gemma3:1b,load,10,Write a Python function that checks whether a given string i,9581.195,9585.121,3926,208.3,29,2498.9,704,99.550,106.830,390.853,,733,0.5332242193106652,0.5551894215265875
2,gemma3:1b,load,11,Explain how a transformer neural network works. Cover attent,9585.454,9592.541,7087,207.7,27,2659.9,1297,101.034,106.380,716.033,,1324,0.5408105818101994,0.5520687820483454
2,gemma3:1b,load,12,Write a short story (about 200 words) about a robot who disc,9592.862,9594.361,1498,208.2,32,2893.0,247,83.173,88.330,124.656,,279,0.44679647603480965,0.5046810397316271
2,gemma3:1b,load,13,List and briefly explain ten common software design patterns,9594.453,9598.345,3892,208.2,26,2526.2,696,101.810,106.240,396.314,,722,0.5489117467149358,0.5694170705864707
2,gemma3:1b,load,14,Describe the pros and cons of renewable energy sources: sola,9598.734,9604.975,6240,207.4,28,2408.2,1135,99.862,107.030,623.223,,1163,0.5358756539615921,0.5490954938831115
3,gemma3:1b,load,0,What is the capital of France?,9605.163,9605.537,373,215.4,16,1322.2,33,96.130,96.130,35.941,,49,0.7334937862500188,1.089127137159119
3,gemma3:1b,load,1,What year was the C programming language created?,9605.710,9606.161,451,211.9,18,1482.7,46,71.060,71.060,32.067,,64,0.5010525339055534,0.6971165689120743
3,gemma3:1b,load,2,Name three planets in our solar system.,9606.273,9606.649,376,215.3,17,1468.7,35,65.340,65.340,24.582,,52,0.4727358059622076,0.7023503402867084
3,gemma3:1b,load,3,What is 17 multiplied by 23?,9606.812,9607.151,338,221.6,20,1955.1,27,65.840,65.840,22.311,,47,0.4747013555364894,0.8263319892672223
3,gemma3:1b,load,4,"Who wrote the novel ""1984""?",9607.342,9607.769,427,211.5,19,1741.5,45,60.080,60.080,25.691,,64,0.40141469034976807,0.5709008929418924
